org.leo.dictionary.config.entity.ParseWords:fr:en;uk:le+;la+;les+;l%27:%5C%7C:%3B:%3B:%5Ct::Collins+French+3000

	 l'essentiel | the essentials
l'essentiel | the essentials | найнеобхідніше

rouge | red | червоний
vert | green | зелений
bleu | blue | блакитний
noir | black | чорний
blanc | white | білий
jaune | yellow | жовтий

Bonjour. | Hello. | Привіт.
Salut ! | Hi! | Привіт!
Rebonjour ! | Hello again! | Привіт ще раз!
Bonjour. | Good morning. | Добрий ранок
Bonjour. | Good afternoon. | Добрий день.
Bonsoir. | Good evening. | Добрий вечір.
Bonne nuit. | Goodnight. | Надобраніч.
Au revoir. | Goodbye. | До побачення
Salut ! | Bye! | До побачення!
À bientôt. | See you soon. | До зустрічі.
À demain. | See you tomorrow. | До завтра.
À samedi. | See you on Saturday. | До суботи.
Bonne journée ! | Have a good day! | Доброго дня!
Bonne soirée ! | Have a good evening! | Доброго вечора!

Oui | Yes. | Так.
Si. | Yes. | Так.
Non. | No. | Ні.; Немає.
Je ne sais pas. | I don't know. | Не знаю.
s'il vous plaît | please | будь ласка
Merci. | Thank you. | Дякую тобі.
Non merci. | No, thanks. | Ні, дякую.
Excusez-moi. | Excuse me. | Вибачте.
Pardon ? | Sorry? | Вибачте?
Je suis désolé. | I'm sorry. | Мені шкода
D'accord ! | OK! | Згоден!
De rien. | You're welcome. | Будь ласка
Je ne comprends pas. | I don't understand. | Я не розумію

à votre sujet | about you | про вас
Quel âge avez-vous ? | How old are you? | Скільки тобі років?
Puis-je demander votre âge ? | May I ask how old you are? | Можна запитати скільки вам років?
Quelle est votre date d'anniversaire ? | When is your birthday? | Коли твій день народження?
J'ai ... ans. | I'm ... years old. | Мені ... років.
Mon anniversaire est le... | My birthday is on... | Мій день народження...
D'où venez-vous ? | Where are you from? | Звідки ти родом?

Où habitez-vous ? | Where do you live? | Де ти живеш?
Je viens... | I'm from... | Я з...
... du Royaume-Uni. | ... the UK. | ... Сполучене Королівство.
J'habite à... | I live in... | Я живу в...
Je suis... | I'm... | Мені...
écossais | Scottish | шотландський
anglais | English | англійська
irlandais | Irish | ірландський
gallois | Welsh | Валлійська
britannique | British | британець
Êtes-vous marié ? | Are you married? (to a man) | Ви одружені (до чоловіка)
Êtes-vous mariée ? | Are you married? (to a woman) | Ви одружені (до жінки)
Êtes-vous célibataire ? | Are you single? | Ви неодружені?
Je suis marié / divorcé. | I'm married / divorced. (man) | Я одружений / розлучений.
Je suis mariée / divorcée. | I'm married / divorced. (woman) | Я одружена / розлучена.
J'ai un compagnon / une compagne. | I have a partner. | У мене є партнер.
Je suis célibataire. | I'm single. | Я незаміжня.
Je suis veuf. | I'm widowed. (man) | Я вдівець.
Je suis veuve. | I'm widowed. (woman) | Я вдова.
Avez-vous des enfants ? | Do you have any children? | У вас є діти?
J'ai ... enfants. | I have ... children. | У мене... дітей.
Je n'ai pas d'enfants. | I don't have any children. | Я бездітна

la famille et les amis | family and friends | родина та друзі
Voici mon / ma... | This is my... | Це мій...
Voici mes... | These are my... | Це мої...
le mari | husband | чоловік
l'épouse; f | wife | дружина
le fils | son | син
la fille | daughter | дочка
les parents; mpl | parents | батьки
le compagnon | partner | партнер
la compagne | partner | партнер
le copain | boyfriend | хлопець
la copine | girlfriend | подруга
le fiancé | fiancé | наречений
la fiancée |  fiancée | наречена
le père | father | батько

la mère | mother | мати
le frère | brother | брат
la sœur | sister | сестра
le grand-père | grandfather | дідусь
la grand-mère | grandmother | бабуся
le petit-fils | grandson | онук
la petite-fille | granddaughter | внучка
le beau-père | father-in-law; stepfather | тесть; вітчим
la belle-mère | mother-in-law; stepmother | свекруха; мачуха
la belle-fille | daughter-in-law; stepdaughter | невістка; падчерка
le beau-fils | son-in-law; stepson | зять; пасинок
le beau-frère | brother-in-law; stepbrother | шурин; зведений брат
la belle-sœur | sister-in-law; stepsister | невістка; зведена сестра
l'oncle; m | uncle | дядько
la tante | aunt | тітка
le neveu | nephew | племінник
la nièce | niece | племінниця
le cousin | cousin | двоюрідний брат
la cousine | cousin | двоюрідний брат
l'ami; m | friend | хлопець
l'amie; f | friend | дівчина
le collègue | colleague | колега
la collègue | colleague | колега
le voisin | neighbour | сусід
la voisine | neighbour | сусід
le bébé | baby | немовля
l'enfant; m | child | дитина
l'adolescent; m | teenager | підліток
l'adolescente; f | teenager | підліток

le bien-être | general health and wellbeing | здоров'я і благополуччя
Comment allezvous ? | How are you? | Як справи?
Comment ça va ? | How's it going? | Як справи?
Comment va-t-il / elle ? | How is he / she? | Як він / вона?
Comment vont-ils / elles ? | How are they? | Як справи?
Très bien, merci, et vous ? | Very well, thanks, and you? | Дуже добре, дякую, а ви?
Bien, merci. | Fine, thanks. | Дякую добре.

Super bien ! | Great! | Чудово!
Comme ci comme ça. | So-so. | Так собі.
Pas mal, merci. | Not bad, thanks. | Непогано, дякую.
On fait aller. | Could be worse. | Все йде добре.
Pas terrible. | Not great. | Не страшно.
Je suis fatigué. | I'm tired. | Я втомився.
J'ai faim / soif. | I'm hungry / thirsty. | Я голодний / спраглий.
Je n'ai plus faim. | I'm full. | Я ситий.
J'ai froid. | I'm cold. | Мені холодно.
J'ai chaud. | I'm warm. | Мені тепло.
Je suis... | I am... | Мені...
Il / Elle est... | He / She is... | Він / вона...
Ils / Elles sont... | They are... | Вони є...
heureux | happy | щасливий
excité | excited | засмучений
calme | calm | спокійний
surpris | surprised | здивований
mécontent | annoyed | роздратований
en colère | angry | злий
triste | sad | сумний
inquiet | worried | збентежений
effrayé | afraid | наляканий
détendu | relaxed | розслаблений
Je m'ennuie. | I'm bored. | Мені нудно.
Je me sens... | I feel... | Я відчуваю...
Il / Elle se sent... | He / She feels... | Він / вона відчуває...
Ils / Elles se sentent... | They feel... | Ви відчуваєте...
bien | well | добре
indisposé | unwell | погано; недобре
mieux | better | краще
pire | worse | гірше

le travail | work | працювати
Où travaillez-vous ? | Where do you work? | Де ти працюєш?
Que faites-vous dans la vie ? | What do you do? | Чим ти заробляєш на життя?
Quel est votre métier ? | What's your occupation? | Чим ви займаєтеся?
Est-ce que vous travaillez / étudiez ? | Do you work / study? | Ви працюєте / навчаєтесь?
Je travaille à mon compte. | I'm self-employed. | Я самозайнятий.
Je suis au chômage. | I'm unemployed. | Я безробітний.

Je suis encore à l'école. | I'm still at school. | Я ще в школі.
Je suis à l'université. | I'm at university. | Я в університеті.
Je suis à la retraite. | I'm retired. | Я на пенсії.
Je voyage. | I'm travelling. | Я подорожую.
Je travaille de chez moi. | I work from home. | Я працюю вдома.
Je travaille à temps partiel / complet. | I work part- / full-time. | У мене неповний / повний робочий день.
Je travaille comme... | I work as a / an... | Я працюю як...
Je suis... | I'm a / an... | Я...
l'architecte; m | architect | архітектор
l'architecte; f | architect | архітектор
le chef | chef | кухар
la chef | chef | кухар
le fonctionnaire | civil servant | державний службовець
la fonctionnaire | civil servant | державний службовець
l'employé de ménage; m | cleaner | прибиральник
l'employée de ménage; f | cleaner | прибиральник
le dentiste | dentist | стоматолог
la dentiste | dentist | стоматолог
le médecin | doctor | лікар
la médecin | doctor | лікар
le conducteur | driver | водій
la conductrice | driver | водій
l'électricien; m | electrician | електрик
l'électricienne; f | electrician | електрик
l'ingénieur; m | engineer | інженер
l'ingénieure; f | engineer | інженер
l'agriculteur; m | farmer | фермер
l'agricultrice; f | farmer | фермер
le sapeur-pompier | firefighter | пожежник
