org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Einfach+gut+A1.2
	Wortschatz zu Lektion 7: In der Stadt unterwegs	
die Ampel; Ampeln | traffic lights | світлофор
die Ankunftszeit | arrival time | час прибуття
die Ansage; Ansagen | announcement | оголошення
die Apotheke; Apotheken | pharmacy | аптека
der Arzt; Ärzte | doctor | лікар
die Ärztin; Ärztinnen | female doctor | лікарка
die Auskunft | information | довідковий стіл
außerdem | also | на додачу
außerplanmäßig | unscheduled | позаплановий
das Auto; Autos | car | автомобіль
die Bahn | train | потяг
der Bahnhof; Bahnhöfe | train station | залізнична станція
der Ball; Bälle | ball | м’яч
die Bank | bank | банк
bezahlen | to pay | платити
die Bibliothek | library | бібліотека
das Bürgerbüro | local city office | центр обслуговування громадян
der Bus; Busse | bus | автобус
die Bushaltestelle; Bushaltestellen | bus stop | автобусна зупинка
das Café; Cafés | café | кафе
dafür | for that | для цього
dritte | third | третій
die Durchsage | announcement | повідомлення
einfach | easy | простий
die Einzelfahrkarte | single ticket | одноразовий квиток
erste | first | перша
der Erwachsene; Erwachsenen | adult | дорослий
fahren | to travel | їхати
der Fahrgast; Fahrgäste | passenger | пасажир
die Fahrkarte | travel ticket | проїзний квиток
das Fahrrad; Fahrräder | bicycle | велосипед
fallen | to fall | падати
fast | nearly | майже
der Flughafen; Flughäfen | airport | аеропорт
das Gebäude; Gebäude | building | будівля
geben | to give | давати
gegenüber | opposite | навпроти
geradeaus | straight ahead | прямо
das Gleis; Gleise | platform | колія
gültig | valid | дійсний
halten | to stop | тримати
die Haltestelle; Haltestellen | stop; station | зупинка
der Hauptbahnhof | main train station | центральний вокзал
hinter | behind | позаду
das Hotel; Hotels | hotel | готель
der Informationsschalter | information desk | інформаційний центр
der Intercity (IC) | intercity | міжміський (IC)
das Jobcenter | job centre | центр зайнятості
das Kino; Kinos | cinema | кінотеатр
die Kirche | church | церква
das Krankenhaus; Krankenhäuser | hospital | лікарня
die Krankenkasse | health insurance | каса медичного страхування
die Kreuzung | crossroads | перехрестя
die Kurzstrecke | short-haul | коротка відстань
die Linie | line | лінія
links | left | ліворуч
die Lösung; Lösungen | solution | рішення
der Meter; Meter | metre | метр
der Metzger | butcher | м’ясник
die Minute; Minuten | minute | хвилина
die Mobilität | mobility | мобільність
das Motorrad; Motorräder | motorcycle | мотоцикл
nachfragen | to ask about | запитувати
nächster, nächste, nächstes | next | наступний, наступна, наступне
nichts | nothing | нічого
öffentlich | public | публічний
die Orientierung | orientation; bearings | орієнтування
der Park; Parks | park | парк
die Parkgebühr; Parkgebühren | parking fee | плата за паркування
der Parkplatz; Parkplätze | car park | місце для паркування
die Polizei | police | поліція
die Position | police station | позиція
die Post | post office | пошта
praktisch | practical | практичний
das Rathaus | city hall | ратуша
rechts | right | праворуч
die Regionalbahn | regional train | регіональний потяг
das Restaurant; Restaurants | restaurant | ресторан
die Ruhe | quiet | спокій
der Schienenersatzverkehr | replacement bus service | автобусні перевезення
das Schwimmbad; Schwimmbäder | swimming pool | басейн
selten | rarely | рідко
sowieso | anyway | так чи інакше
später | later | пізніше
