org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+;der/die+:%5C%7C:%3B:%3B:%5Ct::Einfach+gut+A2.1
	Wortschatz zu Lektion 1: Chatten, mailen, sich informieren
die Abendkasse | box offce | вечірня каса
abholen | to collect | забирати
aktuell | current | поточний
alle | all | все
anklicken | to click | натискати
die App | app | додаток
aussuchen | to choose | підшукувати
der Benutzername | user name | ім’я користувача
bestellen | to order | замовляти
chatten | to chat | спілкуватися в чаті
die Datei; Dateien | file | файл
dich | you | тебе
diskutieren | to discuss | обговорювати
drucken | to print | натискати
der Eintritt; Eintritte | entry | вхід
empfehlen | to recommend | рекомендувати
die Empfehlung; Empfehlungen | recommendation | рекомендація
flirten | to ﬂirt | фліртувати
der Flohmarkt; Flohmärkte | ﬂea market | блошиний ринок
das Forum | forum | форум
funktionieren | to work | форум
gebraucht | used | необхідний
googeln | to google | шукати в Google
herausfnden | to fnd out | дізнаватися
herunterladen | to download | завантажувати
hochladen | to upload | вивантажувати
informieren | to inform | інформувати
international | international | міжнародний
das Internet | Internet | Інтернет
das Kennwort; Kennwörter | password | пароль
die Kinokarte | cinema ticket | квиток у кіно
klicken | to click | натискати
der Kommentar; Kommentare | comment | коментар
kostenlos | free of charge | безкоштовно
das Kulturcafé | culture café | культурне кафе
der Leser | reader | читач
die Leserin | reader | читачка
löschen | to delete | видаляти
mailen | to mail | надсилати поштою
mich | me | мене
mitkommen | to come along | супроводжувати
mitmachen | to participate | долучатися
nachschauen | to look up | дивитися вслід
der Neffe | nephew | племінник
nervös | nervous | знервований
Newsletter | newsletter | інформаційний бюлетень
oben | at the top | вище
die Politik | politics | політика
prima | great | чудово
das Programm; Programme | programme | програма
die Radtour; Radtouren | cycling tour | велосипедний тур
der Regen | rain | дощ
der Regenschirm | umbrella | парасолька
die Reihenfolge | order | послідовність
reservieren | to book | бронювати
die Reservierung | booking | бронювання
die Rolle; Rollen | role | роль
sinken | to decrease | опускати
das Smartphone | smartphone | смартфон
speichern | to save | зберігати
das Spielzeug | toy | іграшка
starten | to begin | починати
die Startseite | homepage | домашня сторінка
steigen | to increase | піднімати
das Straßenfest | street party | вуличне свято
das Symbol; Symbole | symbol | символ
tauschen | to swap | обмінювати
die Temperatur; Temperaturen | temperature | температура
das Theater | theatre | театр
der Treffpunkt | venue | місце зустрічі
unternehmen | to undertake | вживати (заходи)
die Verabredung; Verabredungen | meet up | домовленість
die Veranstaltung; Veranstaltungen | event | подія
der Veranstaltungstipp; Veranstaltungstipps | event tip | порада щодо події
der Vorschlag; Vorschläge | suggestion | пропозиція
die Welt | world | світ
die Wettervorhersage | weather forecast | прогноз погоди
die Wirtschaft | economy | економіка
das Würstchen | sausage | сосиска
zeitweise | occasionally | час від часу
zuhören | to listen | слухати
zuschauen | to watch | дивитися
	Wortschatz zu Lektion 2: Mit Bus und Bahn
abfahren | to depart | від’їжджати
die Abfahrt; Abfahrten | departure | від’їзд
ankommen | to arrive | прибувати
die Ankunft; Ankünfte | arrival | прибуття
der Anschluss | connection | підключення
der Anschlusszug; Anschlusszüge | connecting train | стикувальний потяг
ausblenden | to fade out | приховувати
ausfallen | to be cancelled | випадати
aussteigen | to get out | виходити
das Autofahren | to drive a car | переміщення автомобілем
der Automat | vending machine | автомат
das Bahnfahren | rail travel | переміщення потягом
der Bahnsteig | platform | платформа
bitten | to ask | просити
buchen | to book | бронювати
die Dauer | duration | тривалість
defekt | defective | несправний
deshalb | hence | тому
drehen | to turn | обертати
drüben | over there | на іншому боці
die Einfahrt; Einfahrten | entry | в’їзд
einsteigen | to board | сідати (в транспорт)
erhalten | to receive | отримувати
erreichen | to reach | досягати
der Fahrkartenschalter | ticket office | квиткова каса
der Fahrplan; Fahrpläne | schedule | розклад руху
der Fernbus | long-distance bus | міжміський автобус
fliegen | to fly | літати
das Flugzeug; Flugzeuge | plane | літак
der Grund | ground | причина
der Halt | stop | зупинка
hin | there | там
die Hinfahrt; Hinfahrten | journey there | поїздка в один бік
der Mitarbeiter | employee | колега
die Mitarbeiterin | employee | колежанка
mitnehmen | to take with | брати з собою
nah | close | близько
nämlich | namely | а саме
die Nummer | number | номер
die Option | option | варіант
passieren | to happen | відбуватися
das Pech | bad luck | невдача
planmäßig | on schedule | за графіком
preiswert | inexpensive | недорогий
die Reisemöglichkeit; Reisemöglichkeiten | travel option | можливість для подорожі
das Reiseziel | travel destination | пункт призначення
