org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+;der/die+:%5C%7C:%3B:%3B:%5Ct::Einfach+gut+B1.1
	Wortschatz zu Lektion 1: Gute Reise!
der Abfall; Abfälle | rubbish | відходи
der Abflug | departure | виліт
die Absage | cancellation | відмова
aktiv | active | активний
der Alkohol | alcohol | алкоголь
angenehm | pleasant | приємний
annulliert | cancelled | скасований
die Anzeigetafel; Anzeigetafeln | bulletin board | табло
der Aufruf | call | виклик
der Ausgang; Ausgänge | exit | вихід
die Ausstattung | equipment | оснащення
der Behälter; Behälter | container | ємність
betreten | to enter | входити
der Bewohner; Bewohner | resident | мешканець
die Bewohnerin; Bewohnerinnen | resident | мешканка
die Bordkarte | boarding pass | посадковий талон
der Camper; Camper | camper | кемпер
die Camperin; Camperinnen | camper | кемперка
der Campingplatz; Campingplätze | campsite | кемпінг
der Check-in-Schalter | check-in desk | вікно реєстрації
der Container; Container | container | контейнер
die Dienstreise | business trip | відрядження
das Doppelbett; Doppelbetten | double bed | подвійне ліжко
das Doppelzimmer (DZ); Doppelzimmer | double room | двомісний номер (DR)
einchecken | to check-in | реєструватися на вході
die Einsteigezeit | boarding time | час посадки
das Einzelzimmer (EZ) | single room | одномісний номер (SR)
erleben | to experience | переживати
der Flug; Flüge | flight | політ
der Flugbegleiter; Flugbegleiter | flight attendant | бортпровідник
die Flugbegleiterin; Flugbegleiterinnen | flight attendant | бортпровідниця
der Fluggast; Fluggäste | passenger | пасажир літака
die Fluggesellschaft; Fluggesellschaften | airline | авіакомпанія
führen | to lead | вести
füttern | to feed | годувати
das Gate | gate | вихід до літака
das Gepäck | luggage | багаж
die Gepäckausgabe | baggage reclaim | отримання багажу
das Gepäckband | luggage belt | конвеєр для видачі багажу
gestattet sein | to be permitted | бути дозволеним
die Halbpension (HP) | half-board | напівпансіон (HB)
das Handgepäck | hand luggage | ручна поклажа
historisch | historical | історичний
das Hostel | hostel | хостел
hygienisch | hygienic | гігієнічний
das Inlineskaten | inline skating | катання на роликових ковзанах
die Jugendherberge; Jugendherbergen | youth hostel | молодіжна турбаза
der Katalog; Kataloge | catalogue | каталог
klettern | to climb | лазити по скелях
komfortabel | comfortable | зручний
die Lage | site | позиція
das Lagerfeuer | campfire | багаття
landen | to land | приземлюватися
der Lärm | noise | шум
die Lautsprecherdurchsage; Lautsprecherdurchsagen | tannoy announcement | оголошення через гучномовець
lebhaft | lively | жвавий
die Leine | rope | мотузка
der Leuchtturm; Leuchttürme | lighthouse | маяк
der Meerblick | seaview | вид на море
mitten | middle | посередині
der Nebel | fog | туман
neblig | foggy | туманний
das Paradies | paradise | рай
der Passagier; Passagiere | passenger | пасажир
