org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+;der/die+;das/der+:%5C%7C:%3B:%3B:%5Ct::Einfach+gut+B1.2
	Wortschatz zu Lektion 7: Deutschland – zweite Heimat?
abschicken | to submit | надсилати
die Abwicklung | settlement | завершення
amtlich | official | офіційний
anerkennen | to recognise | визнавати
die Anerkennung | recognition | визнання
der Anfang; Anfänge | beginning | початок
ansteckend | infectious | заразний
ausstellen | to issue | виставляти
die Bearbeitung | processing | редагування
beglaubigen | to certify | нотаріально засвідчувати
die Beglaubigung | certification | нотаріальне засвідчення
der Bekannte; Bekannten | acquaintance | знайомий
die Bekannte; Bekannten | acquaintance | знайома
benötigen | to require | потребувати
berufen | to appoint | призначати на посаду
bescheinigen | to certify | засвідчувати
dran sein | to be for it | бути на черзі
einreichen | to submit | діставатися
enttäuschen | to disappoint | розчаровувати
die Enttäuschung; Enttäuschungen | disappointment | розчарування
der Erhalt | receipt | отримання
die Erklärung; Erklärungen | explanation | пояснення
erkundigen | to enquire | довідуватися
die Fähigkeit; Fähigkeiten | ability | здатність
die Fantasie | phantasy | фантазія
die Formalität; Formalitäten | formality | формальність
förmlich | formal | формальний
die Fotokopie; Fotokopien | photocopy | фотокопія
der Frieden | peace | мир
das Führungszeugnis | certificate of good conduct | довідка про несудимість
garantieren | to guarantee | гарантувати
der Gedanke; Gedanken | thought | думка
die Geduld | patience | терпіння
geduldig | patient | терплячий
die Gemeinsamkeit; Gemeinsamkeiten | common feature | спільність
der Geruch; Gerüche | smell | запах
das Gesundheitszeugnis | health certificate | довідка про стан здоров’я
gewährleisten | to ensure | гарантувати
häufig | often | частий
das Heimweh | home sickness | туга за домом
herkommen | to come from | приходити
das Herkunftsland; Herkunftsländer | country of origin | країна походження
hierher | here | сюди
hilfsbereit | ready to help | готовий допомогти
inzwischen | meanwhile | тим часом
die Kopie; Kopien | copy | копія
die Mentalität; Mentalitäten | mentality | ментальність
nachdenklich | thoughtful | задумливий
der Pflegehelfer; Pflegehelfer | nursing assistant | медбрат
die Pflegehelferin; Pflegehelferinnen | nursing assistant | медсестра
die Pflegekraft; Pflegekräfte | carer | доглядальник; доглядальниця
die Reihe | row | рядок
der Sachbearbeiter; Sachbearbeiter | administrative assistant | діловод
die Sachbearbeiterin; Sachbearbeiterinnen | administrative assistant | діловодка
der Sprachnachweis | language certificate | сертифікат про знання мови
übereinstimmen | to correspond | співпадати
überglücklich | overjoyed | дуже щасливий
übersetzen | to translate | перекладати
die Übersetzung; Übersetzungen | translation | переклад
das Übersetzungsbüro | translation agency | бюро перекладів
ungeduldig | impatient | нетерплячий
vermissen | to miss | сумувати за кимось
verurteilen | to judge | засуджувати
wahr | true | дійсний
weitergehen | to continue | іти далі
wohlfühlen | to feel comfortable | почуватися добре
das Ziel; Ziele | aim | мета
zügig | quick | швидкий
zusammenstellen | to put together | складати
	Wortschatz zu Lektion 8: Ein neuer Arbeitsplatz
abhängig | dependent | залежний
absolvieren | to complete | закінчувати навчальний заклад
der Abteilungsleiter; Abteilungsleiter | division manager | начальник відділу
die Abteilungsleiterin; Abteilungsleiterinnen | division manager | начальниця відділу
abwechslungsreich | varied | різноманітний
der Altenpfleger; Altenpfleger | geriatric nurse | медбрат, що доглядає за престарілими
die Altenpflegerin; Altenpflegerinnen | geriatric nurse | медсестра, що доглядає за престарілими
die Anlage | system | установка
die Annahme | acceptance | приймання
anrechnen | to charge | нараховувати
die Anstellung | employment | працевлаштування
die Arbeitsstelle | position | місце роботи
die Arbeitsweise | working method | принцип роботи
die Arbeitszeit; Arbeitszeiten | working hours | робочий час
die Assistenz | assistance | асистування
die Aufteilung | allocation | поділ
der Auszug; Auszüge | extract | витяг
der Bachelor | Bachelor's degree | бакалавр
beherrschen | to master | оволодівати
beilegen | to enclose | додавати
die Berufsbezeichnung | job description | назва посади
die Berufserfahrung | job experience | досвід роботи
das Berufsleben | professional life | професійне життя
die Betriebswirtschaft | business administration | економіка підприємства
beurteilen | to evaluate | судити
das Bewerbungsschreiben | letter of application | супровідний лист
der Bilanzbuchhalter; Bilanzbuchhalter | accountant | бухгалтер
die Bilanzbuchhalterin; Bilanzbuchhalterinnen | accountant | бухгалтерка
bisher | until now | до цього часу
das Briefpapier | letter paper | канцелярський папір
das Büromaterial | office stationary | офісне приладдя
die Bürozeit; Bürozeiten | office hours | час роботи
das Catering | catering | кейтеринг
daneben | besides | окрім того
eigenverantwortlich | independent | під власну відповідальність
eingehen | to enter | увійти
einschreiben | to inscribe | вписувати
das Eintrittsdatum | entry date | дата вступу
der Empfang | reception | прийом
empfangen | to receive | отримувати
englischsprachig | in English | англомовний
entnehmen | to take from | видаляти
die Erstellung | creation | створення
färben | to colour | фарбувати
das Fax | fax | факс
die Festanstellung | full-time position | постійна зайнятість
festlegen | to determine | встановлювати
finanziell | financial | фінансовий
das Finanzwesen | finance | фінанси
der Firmensitz | registered office | головний офіс
fließend | fluent | вільний
der Föhn | hairdryer | фен
fordern | to demand | вимагати
die Formulierung | wording | формулювання
die Fortbildung | further education | подальше навчання
die Frisur | hairdresser | зачіска
die Gehaltsvorstellung | desired salary | очікувана заробітна плата
der Geschäftsführer; Geschäftsführer | managing director | директор
die Geschäftsführerin; Geschäftsführerinnen | managing director | директорка
die Geschäftsführung | management | керівництво
gleichzeitig | at the same time | одночасний
die Handlung | conduct | дія
die Herausforderung | challenge | вимога
individuell | individual | індивідуальний
insofern | provided | оскільки
intern | internal | внутрішній
die Jobbezeichnung | job description | назва посади
der Kamm | comb | гребінець
die Kommunikationsstärke | strong communication skills | навички спілкування
kommunikativ | communicative | комунікативний
der Konferenzraum | conference room | кімната для переговорів
die Kontaktdaten; Pl. | contact details | контактні дані (множина)
kümmern | to take care of | піклуватися
leistungsgerecht | performance-based | на основі результатів
leiten | to lead | керувати
der Manager; Manager | manager | менеджер
die Managerin; Managerinnen | manager | менеджерка
der Maschinenbau | engineering | машинобудування
meistern | to master | оволодівати
der Millionär | millionaire | мільйонер
die Millionärin | millionaire | мільйонерка
mittelständisch | middle-class | середнього розміру
nachdem | after | після того як
das Niveau | level | рівень
das Original | original | оригінал
der PC; PCs | PC | ПК
der Posteingang | inbox | вхідна пошта
die Probezeit | probationary period | пробний період
die Qualifikation; Qualifikationen | qualification | кваліфікація
regeln | to control | регулювати
der Sales Manager; Sales Manager | sales manager | менеджер з продажу
die Sales Managerin; Sales Managerinnen | sales manager | менеджерка з продажу
schneiden | to cut | різати
das Schreiben | correspondence | лист
seitdem | since then | відколи
der Selbstständige; Selbstständigen | self-employed person | самозайнятий
die Selbstständige; Selbstständigen | self-employed person | самозайнятий
senden | to broadcast | надсилати
das Seniorenheim | old people's home | будинок престарілих
