org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Linie+1+Beruf+B2

	Kapitel 1 Hier arbeite ich
		1 Arbeitsräume
die Klimaanlage; -n | air conditioning | кондиціонер
die Leiter; - | ladder | драбина
die Werkbank; -e | workbench | верстак
der Werkzeugkasten; - | toolbox | ящик для інструментів
der Schutzhelm; -e | safety helmet | захисний шолом
sanitäre Anlagen installieren | install sanitary facilities | встановлювати сантехнічні установки
verstopfte Rohre reinigen | clean blocked pipes | очищати засмічені труби
		2 Unsere neuen Arbeitsräume
die Mieterhöhung; -en | rent increase | підвищення оренди
die Zusage; -n | commitment / confirmation | підтвердження
stundenlang | for hours | годинами
das Onlineportal; -e | online portal | онлайн-портал
das Objekt; -e | property / object | об’єкт
der Grundriss; -e | floor plan | план приміщення
jdn. (über etwas) auf dem Laufenden halten | keep someone informed (about something) | тримати когось у курсі
der Interessent; -en | interested party (male) | зацікавлена особа (чоловік)
die Interessentin; -nen | interested party (female) | зацікавлена особа (жінка)
die Altbauwohnung; -en | old building apartment | квартира в старому будинку
die Einbauküche; -n | fitted kitchen | вбудована кухня
der Fahrstuhl; -e | elevator | ліфт
das Erfolgserlebnis; -se | sense of achievement | відчуття успіху
die Werkstatt; -en | workshop | майстерня
die Hausverwaltung; -en | property management | керування будинком
die Daumen drücken | keep one’s fingers crossed | тримати кулаки
sich vormerken lassen | put oneself on a waiting list | записатися заздалегідь
der Auszug; -e | moving out | виселення
sanieren | renovate | ремонтувати / реконструювати
abschleifen | sand / grind down | шліфувати
anschließen | connect | підключати
die Leitung; -en | pipe / line / management | трубопровід / керівництво
die Spedition; -en | shipping company | транспортна компанія
aus Sicherheitsgründen | for safety reasons | з міркувань безпеки
der Nachsendeantrag; -e | mail forwarding application | заявка на переадресацію пошти
einen Nachsendeantrag stellen | submit a mail forwarding request | подати заявку на переадресацію
der Umzugskarton; -s | moving box | коробка для переїзду
der Einkommensnachweis; -e | proof of income | підтвердження доходу
das Maklerbüro; -s | real estate agency | бюро нерухомості
sich ummelden | register/change address | змінити місце реєстрації
die Kaution; -en | deposit | депозит
eine Kaution hinterlegen | pay a deposit | внести депозит
der Besichtigungstermin; -e | viewing appointment | зустріч для огляду
die Praxis, Praxen | practice | практика / кабінет
sich kümmern (um + A.) | take care of | піклуватися про
die Branche; -n | sector / industry | галузь
das/der Start-up; -s | start-up | стартап
die Checkliste; -n | checklist | контрольний список
der Gewerberaum; -räume | commercial space | комерційне приміщення
die Hygieneanforderung; -en | hygiene requirement | гігієнічна вимога
die Flexibilität (Sg.) | flexibility | гнучкість
untervermieten | sublet | здавати в суборенду
die Übergabe; -n | handover | передача
das Übergabeprotokoll; -e | handover protocol | протокол передачі
		3 Der Umzug
ein Angebot einholen (für + A.) | get a quote (for) | отримати пропозицію
flexibel (bezüglich + G.) | flexible (regarding) | гнучкий (щодо)
noch etwas Spielraum haben (bei + D.) | have some leeway (with) | мати певний запас
ausgebucht (bis + A.) | fully booked (until) | повністю заброньовано
jdm. (bei etwas) entgegenkommen | accommodate someone (in something) | піти назустріч
der Fixpreis; -e | fixed price | фіксована ціна
		4 Adils neuer Job
mutig sein | be brave | бути сміливим
spontan | spontaneous | спонтанний
mittelgroß | medium-sized | середнього зросту / розміру
Menschen mit Behinderungen | people with disabilities | люди з інвалідністю
für etwas verantwortlich sein | be responsible for something | бути відповідальним за
selbstständig arbeiten | work independently | працювати самостійно
Kontakt bekommen | make contact | встановити контакт
der Betriebsausflug; -ausflüge | company outing | корпоративна поїздка
		5 Es gibt da ein Problem
in Ordnung sein | be fine / all right | бути в порядку
sich wohlfühlen | feel comfortable | почуватися добре
die Kaffeeküche; -n | coffee kitchen | кухонька для кави
der Küchenboden; - | kitchen floor | підлога на кухні
der Riss; -e | crack | тріщина
sich um etwas kümmern | take care of something | піклуватися про щось
einen Handwerker bestellen | call a craftsman | замовити майстра
sich ein Problem ansehen | look at a problem | розглянути проблему
		6 Eine E-Mail an die Hausverwaltung
die Schilderung des Problems | description of the problem | опис проблеми
ein Problem schildern | describe a problem | описувати проблему
die Erledigung (Sg.) | completion / handling | виконання
die Erreichbarkeit; -en | availability | доступність
die verantwortliche Firma | responsible company | відповідальна компанія
einen Schaden beheben | fix damage | усунути шкоду
sich auf etwas beziehen | refer to something | посилатися на щось
mittlerweile | meanwhile | тим часом
die entstandenen Unannehmlichkeiten | resulting inconveniences | виниклі незручності
der Reparaturauftrag; -aufträge | repair order | замовлення на ремонт
mindern (um + A.) | reduce (by) | зменшувати (на)
	Kapitel 2 Mein eigener Laden
		1 Mehmets Kiosk
der Kiosk; -e | kiosk | кіоск
der Lieferant; -en / die Lieferantin; -nen | supplier | постачальник / постачальниця
die Tiefkühlkost (Sg.) | frozen food | заморожені продукти
liefern | deliver | доставляти
		2 Warum ich die Spätis liebe
das Warenangebot; -e | product range | асортимент товарів
die Öffnungszeit; -en | opening hours | години роботи
rund um die Uhr | 24/7 | цілодобово
die Auswahl (Sg.) | selection | вибір
begehren | desire | бажати
die Besorgung; -en | errand | закупка
der/die Einheimische; -n | local resident | місцевий житель / місцева жителька
miteinander | together / with each other | разом
das Zuhause (Sg.) | home | дім
ein offenes Ohr für jemanden haben | lend someone a sympathetic ear | вислухати когось
die Entdeckung; -en | discovery | відкриття
hetzen | rush / hurry | поспішати
freiberuflich | freelance | фрілансер
sich etwas einteilen | organize one’s time | розподіляти час
der Auftrag; -e | order / assignment | замовлення / завдання
zufällig | by chance / accidental | випадково
die Gleitzeit (Sg.) | flexible working hours | гнучкий графік
der Schichtdienst; -e | shift work | робота по змінах
die Schuld (Sg.) | fault / blame | вина
Das ist nicht seine Schuld. | That’s not his fault | Це не його вина
der Feierabend; -e | end of workday | кінець робочого дня
die Frühschicht; -en | early shift | рання зміна
der Kioskbesitzer; - / die Kioskbesitzerin; -nen | kiosk owner | власник / власниця кіоску
die Spätschicht; -en | late shift | пізня зміна
