org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct:

	Lektion 1
		Verben
arbeiten | to work | працювати
buchstabieren | to spell | виписувати; вимовляти літери
fragen | to ask | питати; запитувати
haben | to have | мати
heißen | to be called | зватися; мати ім'я
hören | to hear | чути; слухати
kommen | to come | приходити; прибувати
leben | to live | жити; проживати
lernen | to learn | вчитися; навчатися
lesen | to read | читати
machen | to do; to make | робити; виготовляти
meinen | to think | думати; вважати
möchten | to want; would like | хотіти; бажати
reisen | to travel | подорожувати; мандрувати
schreiben | to write | писати; записувати
sein | to be | бути
spielen | to play | грати
sprechen | to speak | говорити; розмовляти
studieren | to study | вивчати; вчитися
warten | to wait | чекати; очікувати
werden | to become | ставати; стати
wohnen | to live | жити; проживати
		Nomen
das Alter | age | вік; старість
die Ausländerin | the foreign woman | іноземка
der Ausländer | the foreigner | іноземець
der Beruf | the profession; the job | професія; робота
Deutschland | Germany | Німеччина
die Eltern | the parents | батьки
der Familienname | the surname | прізвище; фамілія
der Familienstand | the marital status | сімейний стан; стан сім'ї
der Fotograf | the photographer | фотограф
die Frau | the woman | жінка; пані
der Geburtstag | the birthday | день народження
die Hausfrau | the housewife | домогосподарка; господиня
der Herr | the gentleman | джентльмен; пан
das Hobby; -s | the hobby | хобі; захоплення
das Jahr; -e | the year | рік
die Kauffrau | the saleswoman | продавщиця
der Kaufmann | the salesman | продавець
das Kind; -er | the child | дитина; дитя
das Klavier | the piano | фортепіано; піаніно
der Kurs | the course | курс
das Land | the country | країна
der Landwirt | the farmer | фермер; селянин
die Leute | the people | люди
die Lösung | the solution | рішення; розв'язок
der Mechaniker | the mechanic | механік
der Monat; -e | the month | місяць
der Name | the name | ім'я; назва
der Ort | the place | місце
Österreich | Austria | Австрія
die Postkarte | the postcard | листівка; поштова листівка
die Postleitzahl | the postcode | поштовий індекс
die Reiseleiterin | the tour guide (female) | гід
der Reiseleiter | the tour guide (male) | гід
die Schülerin | the schoolgirl | школярка; учениця
der Schüler | the schoolboy | школяр; учень
die Schweiz | Switzerland | Швейцарія
die Seite | the page | сторінка
die Sekretärin | the secretary (female) | секретарка; секретар
die Straße | the street | вулиця
die Studentin | the student (female) | студентка
der Student | the student (male) | студент
der Tag; -e | the day | день
das Telefon | the telephone | телефон
die Telefonnummer | the phone number | номер телефону
der Vorname | the first name | ім'я
der Wohnort | the place of residence | місце проживання
die Zahl; -en | the number | число; номер
		Adjektive
alt | old | старий; давній
berufstätig | employed; working | зайнятий; працюючий
frei | free | вільний; безкоштовний
geschieden | divorced | розлучений
gut | good | добрий; хороший
klein | small | малий; невеликий
ledig | single; unmarried | один; неодружений
neu | new | новий
verheiratet | married | одружений; в'язаний
		Adverbien
bitte | please | будь ласка
da | there | там
erst | only | тільки
etwa | about; approximately | приблизно; близько
hier | here | тут
jetzt | now | зараз; тепер
leider | unfortunately | на жаль
nicht | not | не
noch | yet | ще раз
noch einmal | once again | знову; ще раз
schon | already | вже
übrigens | by the way | до речі
		Funktionswörter
aber | but | але
aus | from | з
bei | at | на; при
das | the | той; цей
dein | your | ваш; твій
in | in | в
ja | yes | так
man | one; someone | хтось; один
mein | my | мій
mit | with | з
nein | no | ні
und | and | і; та
von | from | від
was? | what? | що?
wer? | who? | хто?
wie? | how? | як?
wie viel? | how much? | скільки?
wo? | where? | де?
woher? | where from? | звідки?
wohin? | where to? | куди?
		Ausdrücke
Ach so! | Oh, I see! | О, я бачу!; О, я розумію!
Ach was! | Oh, come on! | Ну, давай!; Ах ти!
Bitte schön! | You're welcome! | Будь ласка!; Немає за що!
Danke! | Thank you! | Дякую!; Спасибі!
Danke, es geht. | Thanks, I'm okay. | Дякую, у мене все добре.; Спасибі, я в порядку.
Danke, gut. | Thanks, fine. | Дякую, добре.; Спасибі, добре.
Danke schön! | Thank you very much! | Дуже вдячний!; Дякую вам дуже!
Entschuldigung! | Excuse me! | Вибачте!; Перепрошую!
Es geht! | I'm fine. | Я в порядку.; Мені добре.
Guten Abend! | Good evening! | Добрий вечір!; Вечір добрий!
Guten Morgen! | Good morning! | Доброго ранку!
Guten Tag! | Good day! | Добрий день!
Hallo! | Hello! | Привіт!; Вітаю!
Ist hier noch frei? | Is this seat taken? | Це місце вільне?
Macht nichts. | It's okay. | Все гаразд.; Все нормально.
Wie bitte? | Pardon? | Що, простіть?; Як, вибачте?
Wie geht es Ihnen? | How are you? | Як у вас справи?; Як ви?
Wie geht es dir? | How are you? | Як у тебе справи?; Як ти?
Wie heißen Sie? | What is your name? | Як вас звати?; Як вас звуть?
Wie heißt du? | What's your name? | Як тебе звати?; Як тебе звуть?
Wie ist Ihre Adresse? | What's your address? | Яка ваша адреса?; Яка твоя адреса?
Wie ist deine Adresse? | What's your address? | Яка твоя адреса?; Яка ваша адреса?
Wie ist Ihr Name? | What's your name? | Як ваше ім'я?
Wie ist dein Name? | What's your name? | Як твоє ім'я?
Wie ist Ihre Telefonnummer? | What's your phone number? | Який ваш номер телефону?
Wie ist deine Telefonnummer? | What's your phone number? | Який твій номер телефону?
zur Zeit | at the moment | на даний момент; наразі
	Lektion 2
		Verben
antworten | to answer; to reply | відповідати; відповісти
bekommen | to get; to receive | отримувати; отримати
bieten | to offer; to provide | пропонувати; надавати
entscheiden | to decide | вирішувати
entschuldigen | to excuse; to apologize | вибачатися
fahren | to drive | їхати
funktionieren | to function; to work | працювати; функціонувати
gehen | to go | йти
können | to be able to; can | можна; вміти
korrigieren | to correct | виправляти
kosten | to cost | коштувати
sagen | to say; to tell | казати; сказати
spülen | to rinse; to flush | полоскати; промивати
stimmen | to vote | голосувати
waschen | to wash | мити
wechseln | to change | змінювати
		Nomen
die Antwort; -en | the answer | відповідь
das Auto; -s | the car | авто
die Batterie; -n | the battery | батарея
das Benzin | the gasoline | бензин
das Bett; -en | the bed | ліжко
das Bild; -er | the picture | зображення; малюнок
der Fehler; - | the mistake; the error | помилка; збій
der Fernsehapparat; -e | the television set | телевізор
das Foto; -s | the photo | фото
das Geld | the money | гроші
das Geschäft; -e | the business; the shop | бізнес; магазин
die Gruppe; -n | the group | група
das Handy; Handys | the mobile phone | мобільний телефон
das Haus; die Häuser | the house | будинок
der Haushalt; -e | the household | господарство
der Helm; -e | the helmet | каска
der Herd; -e | the stove; the cooker | плита
die Idee; -n | the idea | ідея
die Kamera; -s | the camera | камера
die Karte; -n | the card | карта
die Kassette; -n | the cassette | касета
die Küche; -n | the kitchen | кухня
der Küchenschrank; -schränke | the kitchen cabinet | кухонна шафа
der Kugelschreiber; - | the pen | ручка
der Kühlschrank; -schränke | the fridge; the refrigerator | холодильник
die Lampe; -n | the lamp | лампа
die Mikrowelle; -n | the microwave | мікрохвильова піч
die Minute; -n | the minute | хвилина
die Parkuhr; -en | the parking meter | паркувальний метр
die Person; -en | the person | особа; людина
das Problem; -e | the problem | проблема
das Programm; -e | the program | програма
das Radio; -s | the radio | радіо
das Regal; -e | the shelf | полиця
der Schrank; Schränke | the cupboard | шафа
der Schuh; -e | the shoe | взуття
die Schublade | the drawer | ящик
die Steckdose; -n | the socket | розетка
der Stecker; ­ | the plug | вилка
der Stuhl; Stühle | the chair | стілець
die Taschenlampe; -en | the flashlight; the torch | ліхтар
der Taschenrechner; ­ | the calculator | калькулятор
der Tisch; -e | the table | стіл
der Topf; Töpfe | the pot | горщик; каструля
die Uhr; -en | the clock; the watch | годинник
das Waschbecken; ­ | the sink | умивальник; раковина
die Waschmaschine; -en | the washing machine | пральна машина
der Wasserhahn; -hähne | the tap; the faucet | кран
der Wert; -e | the value | значення; цінність
das Wort; Wörter | the word | слово
die Zeit | the time | час
		Adjektive
ähnlich | similar | схожий
bequem | comfortable | комфортний
ehrlich | honest | чесний
kaputt | broken | зламаний
leer | empty | порожній
lustig | funny | смішний
modern | modern | сучасний
originell | original | оригінальний
praktisch | practical | практичний
		Adverbien
auch | also | також
heute | today | сьогодні
morgen | tomorrow | завтра
sehr | very | дуже
		Funktionswörter
es | it | воно
oder | or | або
sondern | but | але
zu sein | to be | бути
		Ausdrücke
alle sein | to be all | бути всім
Das Licht ist aus. | The light is off. | Світло вимкнене.
Viel Spaß! | Have fun! | Гарно проводь час!
	Lektion 3
		Verben
backen | bake | пекти; випікати
bestellen | order | замовляти; заказувати
bezahlen | pay | платити; оплачувати
brauchen | need | потрібно; необхідно
erkennen | recognize | впізнавати; розпізнавати
erzählen | tell | розповідати; говорити
essen | eat | їсти; харчуватися
glauben | believe | вірити; уявляти
kaufen | buy | купувати; придбати
kennen | know | знати; відомий
kochen | cook | готувати; приготувати
mögen | like | подобатися; любити
nehmen | take | брати; взяти
schmecken | taste | смакувати; пробувати
trinken | drink | пити; напої
üben | practice | вправлятися; тренуватися
		Nomen
das Abendessen | dinner | вечеря; обід
der Alkohol | alcohol | алкоголь; спирт
die Anzeige; -n | advertisement | оголошення; реклама
der Apfel; Äpfel | apple | яблуко; яблуня
das Bier | beer | пиво; пивний
die Bohne; -n | bean | боб; квасоля
das Brot; -e | bread | хліб; буханка
das Brötchen; - | roll | булочка; рулет
die Butter | butter | масло; вершкове
die Dose; -n | can | банка; консервна
das Ei; -er | egg | яйце; яєчня
der Einkaufszettel | shopping list | список покупок; покупковий список
das Eis | ice cream | морозиво; морожене
die Erdbeere | strawberry | полуниця; полуничний
der Euro | euro | євро; європейський
der Export | export | експорт; експортний
der Fisch; -e | fish | риба; рибний
die Flasche; -n | bottle | пляшка; бутля
das Fleisch | meat | м'ясо; м'ясний
die Frage; -n | question | питання; запитання
die Frucht; Früchte | fruit | фрукт; фруктовий
das Frühstück | breakfast | сніданок; ранок
die Gabel; -n | fork | виделка; вилка
der Gasthof; Gasthöfe | inn | гостьовий будинок; готель
das Gemüse | vegetables | овочі; овочевий
das Gericht; -e | dish | страва; посуд
das Gespräch; -e | conversation | розмова; бесіда
das Getränk; -e | drink | напій; пити
das Gewürz; -e | spice | спеція; прянощі
das Glas; Gläser | glass | скло; келих
das Gramm | gram | грам
das Hähnchen | chicken | курка; курятина
der Kaffee | coffee | кава; кавовий
die Kartoffel; -n | potato | картопля; картопляний
der Käse | cheese | сир; сирний
das Kilo; -s | kilo | кілограм; кілограмовий
die Kiste; -n | crate | ящик; ящиковий
das Kotelett; -s | chop | котлета; котлетний
der Kuchen | cake | торт; пиріг
die Limonade | lemonade | лимонад; лимонний
der Liter | liter | літр; літровий
der Löffel | spoon | ложка; ложковий
die Marmelade; -n | jam | джем; варення
das Mehl | flour | борошно; мука
das Messer; ­ | knife | ніж; кухонний
die Milch | milk | молоко; молочний
das Mineralwasser | mineral water | мінеральна вода; мінеральний
der Nachtisch; -e | dessert | десерт; солодощі
das Öl; -e | oil | масло; олійний
die Packung; -en | package | упаковка; пакет
der Pfeffer | pepper | перець; перцевий
das Pfund | pound | фунт; фунтовий
der Preis; -e | price | ціна; ціновий
der Reis | rice | рис; рисовий
der Rotwein; -e | red wine | червоне вино; виноградне
der Saft; Säfte | juice | сік; соковий
die Sahne | cream | вершки; крем
der Salat | salad | салат; салатний
der Schinken | ham | шинка; шинкований
der Schnaps; Schnäpse | schnapps | напій; горілка
die Schokolade | chocolate | шоколад; шоколадний
die Soße; -n | sauce | соус; соусний
die Speisekarte; -n | menu | меню; ресторанний
das Steak; -s | steak | стейк; стейковий
die Suppe; -n | soup | суп; суповий
die Tasse; -n | cup | чашка; кружка
der Tee; -s | tea | чай; чайний
der Teller; - | plate | тарілка; пластинка
die T0111ate; -n | tomato | томат; помідорний
die Vorspeise; -n | appetizer | закуска; апетитний
die Wäsche | laundry | пральня; білизна
der Weißwein; -e | white wine | біле вино; виноградне
die Wurst; Würste | sausage | ковбаса; ковбасний
der Zettel; - | note | запис; нота
der Zucker | sugar | цукор; цукровий
die Zwiebel; -n | onion | цибуля
		Adjektive
billig | cheap | дешевий; недорогий
bitter | bitter | гіркий; гіркота
dunkel | dark | темний; мінливий
eng | narrow | вузький; обмежений
fett | fat | жирний; товстий
frisch | fresh | свіжий; новий
groß | big | великий; важливий
grün | green | зелений; екологічний
hart | hard | твердий; стійкий
hell | light | світлий; легкий
hoch | high | високий; важливий
kalt | cold | холодний; зимовий
mild | mild | м'який; помірний
nah | near | близько; поблизу
normal | normal | нормальний; стандартний
fantastisch | fantastic | фантастичний; чудовий
rot | red | червоний; рудий
salzig | salty | солоний; солодкий
satt | full | повний; ситний
sauer | sour | кислий
scharf | spicy | гострий; пекучий
schlank | slim | стрункий; підтягнутий
stark | strong | сильний; міцний
süß | sweet | солодкий; милувати
trocken | dry | сухий; посушливий
typisch | typical | типовий; стандартний
warm | warm | теплий; спекотний
wichtig | important | важливий; значущий
		Adverbien
abends | in the evening | ввечері; у вечірні години
arn liebsten | preferably | переважно; краще
besonders | especially | особливо; зокрема
danach | afterwards | потім; після
dann | then | тоді; далі
fast | almost | майже; навіть
ganz | entirely | повністю; цілком
genug | enough | достатньо; досить
gern | gladly | з радістю; охоче
getrennt | separately | окремо; відокремлено
lieber | rather | скоріше; віддається перевага
manchmal | sometimes | іноді; час від часу
mittags | at noon | в обід; в середині дня
morgens | in the morning | зранку; рано
nachmittags | in the afternoon | вдень; в середині дня
natürlich | naturally | звичайно; природно
nur | only | тільки; лише
oben | above | вище; вищезгадане
oft | often | часто; нерідко
sofort | immediately | негайно; відразу
überall | everywhere | всюди; скрізь
unten | below | нижче; понижу
verschieden | various | різноманітний; різні
vor allem | above all | особливо; переважно
vorwiegend | predominantly | переважно; головним чином
zuerst | first | перший; спочатку
zusammen | together | разом; усім разом
		Funktionswörter
alle | all | все; всі
als | as | як; в якості
etwas | something | щось; кілька
jeder | every | кожний; кожного
mit | with | з; разом з
pro Person | per person | на особу; за особу
pro Jahr | per year | на рік; щорічно
viel | much | багато
viele | many | багато; численний
welcher | which | який; яка
zu | to | до; для
		Ausdrücke
Das macht 25 Euro | That's 25 euros. | Це 25 євро.
Schmeckt der Fisch? | Does the fish taste good? | Чи смачна риба?
es gibt | there is | є
Stimmt so. | Keep the change. | Покидаємо зміну.
		Abkürzungen
g - das Gramm | g - gram | г - грам
kg - das Kilogramm | kg - kilogram | кг - кілограм
	Lektion 4
		Verben
anfangen | begin; start | починати; почати
anziehen | put on; dress | надягати; одягати
aufhören | stop; quit | зупинятися; припиняти
aufmachen | open | відкривати
aufräumen | tidy up; clean up | прибирати; робити чисто
aufstehen | get up; rise | вставати; підніматися
bedienen | serve; attend | обслуговувати; служити
beschreiben | describe | описувати
bringen | bring | приносити
dürfen | be allowed to; may | мати дозвіл; можна
duschen | shower | приймати душ
einkaufen | shop; buy | купувати; шопінгувати
einladen | invite | запрошувати
feiern | celebrate | святкувати
fernsehen | watch TV | дивитися телевізор
fotografieren | photograph | фотографувати
frühstücken | have breakfast | снідати
holen | fetch; get | забирати; отримувати
kontrollieren | check; control | перевіряти; контролювати
können | can; be able to | можна; мати можливість
messen | measure | вимірювати
mitbringen | bring along | приносити з собою
mitkommen | come along | іти разом
müssen | must; have to | повинен; мусити
ordnen | arrange; organize | організовувати; упорядковувати
rauchen | smoke | курити
schlafen | sleep | спати
schneiden | cut | різати
schwimmen | swim | плавати
sehen | see; watch | бачити; дивитися
spazieren gehen | go for a walk | гуляти
stattfinden | take place | відбуватися
stören | disturb | заважати
tanzen | dance | танцювати
treffen | meet | зустрічатися
vergessen | forget | забувати
vergleichen | compare | порівнювати
vorbereiten | prepare | готувати
vorhaben | plan | планувати
zeichnen | draw | малювати
zuhören | listen | слухати
		Nomen
der Abend; -e | evening | вечір
die Ansichtskarte; -n | postcard | листівка
die Arbeit; -en | work; job | робота
der Ausflug; Ausflüge | excursion | екскурсія
der Bäcker | baker | пекар
die Bank; -en | bench; bank | лавка; банк
die Bar; -s | bar | бар
die Bibliothek; -en | library | бібліотека
das Buch; Bücher | book | книга
das Cafe; -s | cafe | кафе
die Diskothek; -en | discotheque | дискотека
der Donnerstag; -e | Thursday | четвер
die Dusche; -n | shower | душ
der Eintritt | entrance; admission | вхід; вступ
das Essen | food; meal | їжа; їдальня
das Fernsehen | television | телебачення
das Fieber | fever | лихоманка
der Film; -e | movie; film | фільм; кіно
der Freitag; -e | Friday | п'ятниця
die Freizeit | free time; leisure time | вільний час
die Friseurin; -nen | hairdresser (female) | перукарка
der Friseur; -e | hairdresser (male) | перукар
der Gast; Gäste | guest | гість
der Gruß; Grüße | greeting | привітання
der Juli | July | липень
der Kellner; - | waiter | офіціант
die Kellnerin; -nen | waitress | офіціантка
das Kino; -s | cinema; movie theater | кінотеатр
das Kleid; -er | dress | сукня
das Konzert; -e | concert | концерт
das Krankenhaus; Krankenhäuser | hospital | лікарня
die Krankenschwester; -n | nurse | медсестра
der Lehrer; - | teacher (male) | вчитель
die Lehrerin; -nen | teacher (female) | вчителька
die Mannschaft; -en | team | команда
die Maschine; -n | machine | машина
das Meer; -e | sea | море
der Mensch; -en | person; human | людина
der Mittag; -e | noon; midday | обід; полудень
das Mittagessen; - | lunch | обід
der Mittwoch; -e | Wednesday | середа
der Montag; -e | Monday | понеділок
die Musik | music | музика
der Passagier; -e | passenger | пасажир
die Pause; -n | break; pause | перерва
das Restaurant; -s | restaurant | ресторан
der Samstag; -e | Saturday | субота
der Satz; Sätze | sentence | речення
das Schild; -er | sign; label | знак; табличка
das Schwimmbad; -bäder | swimming pool | басейн
die Situation; -en | situation | ситуація
der Sonnabend; -e | Saturday | субота
der Sonntag; -e | Sunday | неділя
der Spaziergang; -gänge | walk; stroll | прогулянка
der Tanz; Tänze | dance | танець
die Torte; -n | cake; tart | торт
die Uhrzeit; -en | time; clock time | час; година
der Verband; Verbände | bandage | бинт
das Viertel; - | quarter | чверть
der Vortrag; Vorträge | lecture | лекція
die Wohnung; -en | apartment; flat | квартира
die Zeitung; -en | newspaper | газета
die Zigarette; -n | cigarette | цигарка
		Adjektive
geöffnet | open | відкритий
geschlossen | closed | закритий
herrlich | wonderful; splendid | чудовий; відмінний
leise | quiet; silent | тихий; мовчазний
nächst­ | next | наступний
nett | nice; kind | милосердний; приємний
obligatorisch | obligatory; mandatory | обов'язковий; обов'язково
spät | late | пізно
verboten | forbidden; prohibited | заборонений
		Adverbien
heute | today | сьогодні
immer | always | завжди
meistens | mostly | переважно
morgen | tomorrow | завтра
nie | never | ніколи
vielleicht | perhaps; maybe | можливо; може бути
		Funktionswörter
