	Lektion 1
		Verben
andern | to change; to alter | змінювати
ansehen | to look at; to regard | дивитися
anziehen | to put on; to wear | надягати
ärgern | to annoy; to bother | обурювати
aussehen | to look like; to appear | виглядати
finden | to find | знаходити
gefallen | to like; to enjoy | подобатися
gehören zu | to belong to | належати до
kritisieren | to criticize | критикувати
kündigen | to resign; to quit | звільнятися
lügen | to lie | брехати
stecken | to put; to stick | ставити
verlangen | to demand; to require | вимагати
vorstellen | to introduce; to present | представляти
zahlen | to pay | платити
		Nomen
die/der Angestellte; -n (ein Angestellter) | employee | працівник; співробітник
der Anzug; -e | suit | костюм; піджак
der Arbeitgeber; - | employer | роботодавець
das Arbeitsamt | employment office | служба зайнятості
das Auge; -n | eye | око; зір
das Badezimmer; - | bathroom | ванна кімната
der Bauch; -e | stomach | шлунок; живіт
die Bluse; -n | blouse | блузка
die Brille; -n | glasses | окуляри
der Bruder; - | brother | брат
die Chefin; -nen | female boss | начальниця
der Ehemann; -er | husband | чоловік
das Ergebnis; -se | result | результат; висновок
die Farbe; -n | color | колір
der Feind; -e | enemy | ворог
das Gesicht; -er | face | обличчя
das Haar; -e | hair | волосся
der Hals; -e | neck | шия
das Hemd; -en | shirt | сорочка; блузка
die Hochzeit; -en | wedding | весілля
die Hose; -n | pants | штани
die Jacke; -n | jacket | куртка; піджак
der Job; -s | job | робота; посада
das Kleid; -er | dress | сукня
die Kleidung | clothing | одяг; одягання
der Kollege; -n | colleague | колега
die Krawatte; -n | tie | кравата
die Leistung; -en | performance; achievement | досягнення; виконання
die Liebe | love | любов
der Mann; -er | man | чоловік
die Meinung; -en | opinion | думка; мнення
der Morgen | morning | ранок
der Mund; -er | mouth | рот
der Musiker; - | musician | музикант
der Prozess; -e | process | процес; хід
der Pullover; - | sweater | светр; пуловер
der Punkt; -e | point | точка; пункт
der Rechtsanwalt; -e | lawyer | адвокат; юрист
das Restaurant; -s | restaurant | ресторан
der Rock; -e | skirt | спідниця
der Schuh; -e | shoe | взуття; черевик
die Sorge; -n | worry | турбота; хвилювання
die Stelle; -n | position | позиція; місце
der Strumpf; -e | stocking | панчохи; покривало
der Test; -s | test | тест; перевірка
die Tochter; - | daughter | дочка
das Vorurteil; -e | prejudice | упередження; стереотип
der Wagen; - | car | автомобіль; машина
		Adjektive
ähnlich | similar | схожий
alt | old | старий
angenehm | pleasant | приємний
arm | poor | бідний
blau | blue | синій
blond | blond | блонд; світло-русий
braun | brown | коричневий
dick | thick | товстий
dumm | stupid | дурний
dunkel | dark | темний
dünn | thin | тонкий
ehrlich | honest | чесний
elegant | elegant | елегантний
freundlich | friendly | дружній; привітний
gefährlich | dangerous | небезпечний
gelb | yellow | жовтий
gemütlich | cozy | затишний
genau | exact | точний
gleich | same | такий самий
grau | gray | сірий
grün | green | зелений
gut | good | хороший
hässlich | ugly | потворний
hübsch | pretty | гарний; привабливий
intelligent | intelligent | розумний
interessant | interesting | цікавий
jung | young | молодий
klug | smart | розумний
komisch | funny | смішний
konservativ | conservative | консервативний
kurz | short | короткий
lang | long | довгий
langweilig | boring | нудний
lustig | funny | смішний; веселий
nervös | nervous | нервовий
nett | nice | миленький; приємний
neu | new | новий
offen | open | відкритий
pünktlich | punctual | пунктуальний
rot | red | червоний
ruhig | calm | спокійний
rund | round | круглий
schlank | slim | стрункий
schmal | narrow | вузький
schon | already | вже
schwarz | black | чорний
selten | rare | рідкий
sportlich | sporty | спортивний
sympathisch | sympathetic | симпатичний
traurig | sad | сумний
treu | loyal | вірний
verrückt | crazy | божевільний; сумний
voll | full | повний
weich | soft | м'який
weiß | white | білий
wunderbar | wonderful | чудовий
		Adverbien
bestimmt | definitely | безперечно
etwa | approximately | приблизно
immer | always | завжди
meinetwegen | for me | для мене
meistens | mostly | переважно
nie | never | ніколи
nur | only | тільки
oft | often | часто
sonst | otherwise | інакше
weiter- | further- | далі; далішній
wieder- | again- | знову; ще раз
ziemlich | fairly | досить
		Funktionsworter
alle | all | усі
dieser | this | цей; ця; це
jeder | each | кожен
manche | some | деякі
un- | un- | неправильно; не-
viel | much | багато
welcher | which | який
wie | like | як
	Lektion 2
		Verben
anbieten | to offer; to provide | пропонувати
anfangen | to start; to begin | починати
aufhören | to stop; to quit | припиняти
aussuchen | to choose; to select | обирати
beginnen | to begin; to start | починати
bestimmen | to determine; to decide | визначати
bewerben | to apply (for a job); to advertise | подавати заявку; рекламувати
dauern | to last; to take (time) | тривати
kämpfen | to fight; to struggle | боротися
kennen | to know (someone); to be acquainted with | знати; бути знайомим
kennen lernen | to get to know; to meet | познайомитися
lernen | to learn; to study | вчитися; вивчати
lesen | to read | читати
losen | to draw lots; to decide by drawing lots | розігрувати; вирішувати жеребом
schaffen | to create; to achieve | створювати; досягати
sollen | should; ought to | повинен
stimmen | to vote; to be correct | голосувати; бути правильним
suchen | to search; to look for | шукати
überlegen | to consider; to think about | розглядати; думати про
verdienen | to earn; to deserve | заробляти; заслужити
versprechen | to promise | обіцяти
vorbereiten | to prepare | готувати
werden | to become; will | ставати; буде
zuhören | to listen | слухати
		Nomen
die Antwort; -en | answer | відповідь
die Anzeige; -n | advertisement | оголошення
der Arzt; -e | doctor | лікар
die Aufgabe; -n | task; assignment | завдання
der Augenblick; -e | moment | момент
die Ausbildung | education; training | освіта; навчання
der Beamte; -n (ein Beamter) | civil servant | державний службовець
der Beruf; -e | profession; occupation | професія; робота
der Betrieb; -e | company; operation | підприємство; робота
die Bewerbung; -en | application | заявка
der Bundeskanzler | chancellor | канцлер
der Computer; - | computer | комп'ютер
das Datum; Daten | date | дата
das Diplom; -e | diploma | диплом
das Examen; - | exam | іспит
der Export; -e | export | експорт
die Fahrt; -en | trip; journey | подорож
die Firma; Firmen | company; firm | фірма; компанія
das Gehalt; -er | salary; wage | зарплата; заробітна плата
der Grund; -e | reason; cause | причина; основа
die Grundschule; -en | primary school | початкова школа
das Gymnasium; Gymnasien | high school | гімназія
Haupt- | main; principal | головний
die Hauptsache; -n | main thing; main point | головне
der Import; -e | import | імпорт
das Inland | domestic; inland | внутрішній
die Kantine; -n | cafeteria | їдальня
der Kindergarten; - | kindergarten | дитячий садок
die Klasse; -n | class | клас
die Lehre; -n | apprenticeship; lesson | навчання; вчення
der Maurer; - | bricklayer | муляр
die Möglichkeit; -en | possibility; opportunity | можливість
der Monat; -e | month | місяць
der Nachteil; -e | disadvantage; drawback | недолік
die Nummer; -n | number | номер
der Politiker; - | politician | політик
der Polizist; -en | policeman | поліцейський
das Problem; -e | problem | проблема
die Prüfung; -en | exam; test | іспит
die Religion; -en | religion | релігія
die Schauspielerin; -nen | actress | актриса
die Schule; -n | school | школа
der Schüler; - | student (male) | учень
die Sekretarin; -nen | secretary | секретарка
das Semester; - | semester | семестр
die Sicherheit | security; safety | безпека
die Sprache; -n | language | мова
der Student; -en | student (male) | студент
das Studium; Studien | studies | навчання
der Termin; -e | appointment; deadline | термін; дедлайн
der Text; -e | text | текст
die Universität; -en | university | університет
die Verkäuferin; -nen | saleswoman | продавчиня
der Vertrag; -e | contract | контракт; договір
der Vorteil; -e | advantage; benefit | перевага
die Wirtschaft | economy; business | економіка
das Wort; -er | word | слово
der Zahnarzt; -e | dentist (male) | дантист
die Zahnärztin; -nen | dentist (female) | дантистка
das Zeugnis; -se | report card; certificate | свідоцтво
die Zukunft | future | майбутнє
		Adjektive
anstrengend | exhausting; strenuous | виснажливий; напружений
arbeitslos | unemployed | безробітний
ausgezeichnet | excellent; outstanding | відмінний; видатний
bekannt | known; famous | відомий
dringend | urgent; pressing | терміновий; нагальний
geehrt | honored; respected | пошани; поважно
leicht | light; easy | легкий; простий
praktisch | practical | практичний
sauber | clean; neat | чистий; охайний
schlecht | bad; poor | поганий; невдалий
schlimm | bad; terrible | поганий; жахливий
schmutzig | dirty | брудний
schwer | heavy; difficult | важкий; складний
selbstständig | independent; self-employed | самостійний; самозайнятий
toll | great; fantastic | чудовий; фантастичний
wichtig | important | важливий
		Adverbien
hiermit | hereby | цим
je | ever; each | коли-небудь; кожен
mindestens | at least | принаймні
sicher | sure; safe | безпечний; впевнений
		Funktionsworter
dann | then | потім
denn | because | бо
deshalb | therefore; because of that | тому
mehrere | several | декілька
obwohl | although | хоча
seit | since | з
trotzdem | nevertheless; despite that | проте
von ... bis ... | from ... to ... | від ... до ...
wann | when | коли
warum | why | чому
weil | because | тому що
wenn | if; when | якщо
		Ausdrucke
auf eine Schule gehen | to go to school | ходити до школи
auf jeden Fall | definitely; for sure | обов'язково
auf keinen Fall | by no means; under no circumstances | ні в якому разі
eine Schule besuchen | to attend school | відвідувати школу
es gibt | there is; there are | є
Lust haben | to feel like; to fancy | мати бажання
Spaß machen | to be fun; to enjoy | приносити задоволення
zufrieden sein | to be satisfied; content | бути задоволеним
zur Schule gehen | to go to school | ходити до школи
	Lektion 3
		Verben
ärgern | to annoy; to anger | ображати; дратувати
aufregen | to upset; to agitate | збуджувати; обурювати
auspacken | to unpack | розпаковувати
ausruhen | to rest | відпочивати
benutzen | to use | використовувати
beschweren | to complain; to burden | скаржитися; обтяжувати
bitten | to ask; to beg | просити; благати
erzählen | to tell; to narrate | розповідати; нарікати
freuen | to be glad; to rejoice | радіти; відчувати радість
geschehen | to happen; to occur | траплятися; відбуватися
interessieren | to interest | цікавити
küssen | to kiss | цілувати
lachen | to laugh | сміятися
legen | to lay; to put | класти; покласти
leihen | to lend; to borrow | позичати
malen | to paint; to draw | малювати; креслити
nützen | to benefit; to use | користуватися; використовувати
raten | to advise; to guess | радити; вгадувати
reden | to talk; to speak | говорити; розмовляти
sammeln | to collect; to gather | збирати; накопичувати
singen | to sing | співати
spielen | to play | грати
stören | to disturb; to bother | турбувати; заважати
tanzen | to dance | танцювати
verbieten | to forbid; to prohibit | забороняти
vergessen | to forget | забувати
vergleichen | to compare | порівнювати
weinen | to cry | плакати
		Nomen
der Ausgang; -e | exit | вихід
der Bart; -e | beard | борода
der Baum; -e | tree | дерево
der Bericht; -e | report | звіт
das Bild; -er | picture; image | зображення
die Ecke; -n | corner | куток
der Eingang; -e | entrance | вхід
der Fall; -e | case; fall | випадок; падіння
der Finger; - | finger | палець
die Freizeit | free time; leisure | вільний час; відпочинок
der Fußball | football; soccer | футбол
der Gedanke; -n | thought; idea | думка; ідея
die Gefahr; -en | danger; risk | небезпека; ризик
die Gesundheit | health | здоров'я
der Gewinn; -e | profit; gain | прибуток; виграш
der Glückwunsch; -e | congratulations | вітання
der Gott; -er | god | бог
der Gruß; -e | greeting | привітання
der Hammer; - | hammer | молоток
der Himmel | sky; heaven | небо; небеса
der Hut; -e | hat | капелюх
die Illustrierte; -n | magazine | журнал
der Kasten; - | box; crate | коробка; ящик
das Kaufhaus; -er | department store | універмаг
der Kompromiss; -e | compromise | компроміс
das Konzert; -e | concert | концерт
der Krach | noise; racket | шум; галас
die Kultur | culture | культура
die Kunst | art | мистецтво
