org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Themen+Aktuell+3

	Lektion 1
		Verben
ärgern | annoy | обурювати; дратувати
auffallen | stand out | виділятися; привертати увагу
aufhören | stop | зупинятися; припиняти
aufregen | get upset | дратуватися; збуджуватися
ausruhen | rest | відпочивати
bedeuten | mean | означати; мати значення
begrüßen | greet | вітати; привітати
bemühen | strive | старатися; намагатися
beschweren | complain | скаржитися; нарікати
bewegen | move | рухатися; переміщатися
fordern | demand | вимагати; вимірювати
fürchten | fear | боятися; лякатися
gehören | belong | належати; бути частиною
glauben | believe | вірити; довіряти
grüßen | greet | вітати; привітати
hangen | hang | висіти; залежати
hoffen | hope | сподіватися; надіятися
interessieren | interest | цікавити; зацікавлювати
kämpfen | fight | боротися; воювати
kümmern | care | дбати; турбуватися
küssen | kiss | цілувати; поцілувати
passen | fit | пасувати; відповідати
singen | sing | співати; заспівати
stellen | put | ставити; розміщати
toten | kill | вбивати; убивати
vorstellen | introduce | представляти; знайомити
träumen | dream | мріяти; снитися
umarmen | hug | обіймати; приголублювати
unterhalten | entertain | розважати; забавляти
verlangen | demand | вимагати; вимірювати
verlieben | fall in love | закохуватися; полюбляти
verstehen | understand | розуміти; уявляти
vertrauen | trust | довіряти; вірити
warnen | warn | попереджати; застерігати
weinen | cry | плакати; кричати
wünschen | wish | бажати; побажати
zuwinken | wave | махати
zweifeln | doubt | сумніватися; питатися
		Nomen
der Automechaniker; - | car mechanic | автомеханік
die Ausbildung; -en | education | освіта; навчання
das Ereignis; -se | event | подія; подіум
der Fahrer; - | driver | водій; шофер
die Gefahr; -en | danger | небезпека; ризик
das Gepäck | luggage | багаж; валізи
die Geschwister (Plural) | siblings | брати та сестри; рідні брати та сестри
das Gesicht; -er | face | обличчя; лице
die Großeltern (Plural) | grandparents | дідусь та бабуся; бабуся та дідусь
der Handwerker; - | craftsman | ремісник; майстер
die Kultur; -en | culture | культура; культурність
die Kunst; -e | art | мистецтво; художня творчість
der Lehrer; - | teacher | вчитель; педагог
das Lied; -er | song | пісня; спів
der Lohn; -e | wage | зарплата; оплата праці
die Menge; -n | amount | кількість; сума
das Mitglied; -er | member | член; учасник
der Onkel; - | uncle | дядько
die Ordnung; -en | order | порядок; замовлення
der Plan; -e | plan | план; програма
das Recht; -e | right | право; справедливість
die Regel; -n | rule | правило; норма
die Regierung; -en | government | уряд; влада
die Reparatur; -en | repair | ремонт; відновлення
der Sommer; - | summer | літо; сезон
der Taxifahrer; - | taxi driver | таксист; водій таксі
die Umarmung; -en | hug | обійми; обіймання
der Unfall; -e | accident | аварія; нещасний випадок
der Verein; -e | association | асоціація; об'єднання
der Vertrag; -e | contract | контракт; договір
der/die Verwandte; -n | relative | родич; споріднений
die Verzeihung | forgiveness | прощення; вибачення
das Wetter | weather | погода; атмосфера
		Adjektive
bestimmt | certain | певний; впевнений
kritisch | critical | критичний; важливий
notwendig | necessary | необхідний; обов'язковий
traurig | sad | сумний
verletzt | injured | поранений; травмований
weit | far | далекий; віддалений
westlich | western | західний (географічний)
		Adverbien
einmal | once | одного разу; колись
		Funktionsworter
darauf | on it | на це; на ньому
sich | oneself | себе; самому собі
worauf | whereupon | після чого; в результаті чого
	Lektion 2
		Verben
abschließen | to finish | закінчувати; завершувати
abwaschen | to wash up | мити; вимивати
anbauen | to grow | вирощувати; встановлювати
anbieten | to offer | пропонувати; продавати
aufpassen | to watch out | берегти; доглядати
ausbauen | to expand | розширювати; вдосконалювати
beginnen | to begin | починати; розпочинати
danken | to thank | дякувати; вдячний
einbauen | to install | встановлювати; монтаж
einrichten | to set up | встановлювати; організовувати
entstehen | to arise | виникати; виходити
erlauben | to allow | дозволяти; дозволити
ernähren | to feed | годувати; живити
führen | to lead | вести; керувати
gefallen | to like | подобатися; сподобатися
gründen | to found | засновувати; створювати
hassen | to hate | ненавидіти; не любити
hoffen | to hope | сподіватися; надіятися
kosten | to cost | коштувати; вартувати
leiden | to suffer | страждати; мучитися
lernen | to learn | вчитися; навчатися
öffnen | to open | відкривати; відчиняти
organisieren | to organize | організовувати; організований
planen | to plan | планувати; план
produzieren | to produce | виробляти; продукувати
prüfen | to check | перевіряти; контролювати
schließen | to close | закривати; замикати
stellen | to place | ставити; розміщати
trocknen | to dry | сушити; висушити
unterscheiden | to distinguish | відрізняти; розрізняти
widersprechen | to contradict | суперечити; протирічити
zumachen | to shut | закривати; зачиняти
zunehmen | to increase | збільшувати; зростати
		Nomen
der Anfang; -e | beginning | початок; початкове слово
das Angebot; -e | offer | пропозиція на продаж
die Arbeitsstelle; -n | job | робоче місце; робота
die Atmosphäre; -n | atmosphere | атмосфера
der Ausflug; -e | trip | поїздка; виїзд
die Aussage; -n | statement | заява; висловлення
die Auswahl | selection | вибір; вибірка
die Badewanne; -n | bathtub | ванна
das Badezimmer; - | bathroom | ванна кімната; туалет
der Bau | construction | будівництво; конструкція
die Couch; -s | couch | диван; канапа
die Dose; -n | tin can | бляшанка; консервна банка
der Eingang; -e | entrance | вхід
das Einkaufszentrum; -zentren | shopping mall | торговий центр
der Einwohner; - | resident | мешканець; резидент
die Erde | earth | земля; планета
die Fabrik; -en | factory | фабрика; завод
das Gästehaus; -er | guesthouse | гостьовий будинок; готель
das Gebirge; - | mountain range | гірський масив; гірська кілометрівка
die Gemeinschaft; -en | community | спільнота; громада
das Gerat; -e | device | пристрій; апарат
das Glas; -er | glass | скло; склянка
die Größe; -n | size | розмір; величина
die Haustür; -en | front door | вхідна двері; двері в передпокій
die Heimat | homeland | батьківщина; рідний край
