	Lektion 1
		Verben
arbeiten|to work
buchstabieren|to spell
fragen|to question
haben|to have
heißen|to be called
hören|to hear
kommen|to come
leben|to live
lernen|to learn
lesen|to read
machen|to make
meinen|to mean
möchten|to want
reisen|to travel
schreiben|to write
sein|to be
spielen|to play
sprechen|to speak
studieren|to study
warten|to wait
werden|to become
wohnen|to reside

		Nomen
das Alter|age
die Ausländerin|foreigner
der Ausländer|foreigner
der Beruf|job
Deutschland|Germany
die Eltern|parents
der Familienname|family name
der Familienstand|marital status
der Fotograf|photograph
die Frau|woman; wife
der Geburtstag|birthday
die Hausfrau|housewife
der Herr|gentleman
das Hobby; -s|hobby
das Jahr; -e|year
die Kauffrau|businesswoman
der Kaufmann|businessman
das Kind; -er|child
das Klavier|piano
der Kurs|course
das Land|country
der Landwirt|farmer
die Leute|people
die Lösung|solution
der Mechaniker|mechanic
der Monat; -e|month
der Name|name
der Ort|place
Österreich|Austria
die Postkarte|postcard
die Postleitzahl|area code
die Reiseleiterin|guide
der Reiseleiter|tourguide
die Schülerin|student
der Schüler|student
die Schweiz|Switzerland
die Seite|page
die Sekretärin|secretary
die Straße|street
die Studentin|student
der Student|student
der Tag; -e|day
das Telefon|phone
die Telefonnummer|telephone number
der Vorname|first name
der Wohnort|place of residence
die Zahl; -en|number

		Adjektive
alt|old
berufstätig|employed
frei|free
geschieden|divorced
gut|good
klein|small
ledig|single
neu|new
verheiratet|married

		Adverbien
bitte|please
da|there; here; then; that
erst|firstly
etwa|approximately; something
hier|here
jetzt|now
leider|unfortunately
nicht|not
noch|still
noch einmal|once again
schon|already
übrigens|by the way

		Funktionswörter
aber|but
aus|out of
bei|at
das|this; that
dein|your
in|in
ja|yes
man|man
mein|my
mit|with
nein|no
und|and
von|from
was?|what?
wer?|who?
wie?|how?
wie viel?|how much?
wo?|where?
woher?|where from?
wohin?|where to?

		Ausdrücke
Ach so!|Oh right!
Ach was!|Oh what!
Bitte schön!|You are welcome!
Danke!|Thanks!
Danke, es geht.|Thanks it works.
Danke, gut.|Thanks good.
Danke schön!|Thank you very much!
Entschuldigung!|Excuse me!
Es geht!|It works!
Guten Abend!|Good evening!
Guten Morgen!|Good morning!
Guten Tag!|Good day!
Hallo!|Hello!
Ist hier noch frei?|Is still available here?
Macht nichts.|Never mind.
Wie bitte?|I'm sorry, what?
Wie geht es Ihnen?|How are you doing?
Wie geht es dir?|How are you doing?
Wie heißen Sie?|What's your name?
Wie heißt du?|What's your name?
Wie ist Ihre Adresse?|What is your address?
Wie ist deine Adresse?|What is your address?
Wie ist Ihr Name?|What's your name?
Wie ist dein Name?|What is your name?
Wie ist Ihre Telefonnummer?|What is your phone number?
Wie ist deine Telefonnummer?|What is your phone number?
zur Zeit|currently


	Lektion 2
		Verben
antworten|to answer
bekommen|to receive
bieten|to offer
entscheiden|to decide
entschuldigen|to excuse
fahren|to drive
funktionieren|to function
gehen|to go
können|can
korrigieren|to correct
kosten|to cost
sagen|to say
spülen|to wash
stimmen|to voice
waschen|to wash
wechseln|to change

		Nomen
die Antwort; -en|answer
das Auto; -s|car
die Batterie; -n|battery
das Benzin|gasoline
das Bett; -en|bed
das Bild; -er|picture
der Fehler; -|error
der Fernsehapparat; -e|television
das Foto; -s|photo
das Geld|cash; money
das Geschäft; -e|business
die Gruppe; -n|group
das Handy; Handys|cell phone
das Haus; die Häuser|house
der Haushalt; -e|household
der Helm; -e|helmet
der Herd; -e|stove; oven
die Idee; -n|idea
die Kamera; -s|camera
die Karte; -n|card
die Kassette; -n|cassette
die Küche; -n|kitchen
der Küchenschrank; -schränke|kitchen cabinet
der Kugelschreiber; -|ballpoint pen
der Kühlschrank; -schränke|refrigerator
die Lampe; -n|lamp
die Mikrowelle; -n|microwave
die Minute; -n|minute
die Parkuhr; -en|parking meter
die Person; -en|person
das Problem; -e|problem
das Programm; -e|program
das Radio; -s|radio
das Regal; -e|shelf
der Schrank; Schränke|closet
der Schuh; -e|shoe
die Schublade|drawer
die Steckdose; -n|socket
der Stecker; ­|plug
der Stuhl; Stühle|chair
die Taschenlampe; -en|flashlight
der Taschenrechner; ­|calculator
der Tisch; -e|table
der Topf; Töpfe|pot
die Uhr; -en|watch
das Waschbecken; ­|sink
die Waschmaschine; -en|washing machine
der Wasserhahn; -hähne|faucet
der Wert; -e|value; price
das Wort; Wörter|word
die Zeit|time

		Adjektive
ähnlich|similar
bequem|comfortable; cosy
ehrlich|honest
kaputt|broken
leer|empty
lustig|funny
modern|modern
originell|original
praktisch|practical

		Adverbien
auch|also
heute|today
morgen|tomorrow
sehr|very

		Funktionswörter
es|it
oder|or
sondern|rather
zu sein|to be

		Ausdrücke
alle sein|run out
Das Licht ist aus.|light is off.
Viel Spaß!|Have fun!


	Lektion 3
		Verben
backen|to bake
bestellen|to order
bezahlen|to pay
brauchen|to need
erkennen|to recognize
erzählen|to tell
essen|to eat
glauben|to believe
kaufen|to buy
kennen|to know
kochen|to cook
mögen|to like
nehmen|to take
schmecken|to taste good
trinken|to drink
üben|to practice

		Nomen
das Abendessen|dinner
der Alkohol|alcohol
die Anzeige; -n|ad
der Apfel; Äpfel|apple
das Bier|beer
die Bohne; -n|beans
das Brot; -e|bread
das Brötchen; -|bread bun
die Butter|butter
die Dose; -n|cans
das Ei; -er|egg
der Einkaufszettel|shopping list
das Eis|ice
die Erdbeere|strawberry
der Euro|Euro
der Export|export
der Fisch; -e|fish
die Flasche; -n|bottles
das Fleisch|meat
die Frage; -n|questions
die Frucht; Früchte|fruit
das Frühstück|breakfast
die Gabel; -n|forks
der Gasthof; Gasthöfe|inn
das Gemüse|vegetable
das Gericht; -e|court
das Gespräch; -e|conversation
das Getränk; -e|drink
das Gewürz; -e|spice
das Glas; Gläser|glass
das Gramm|gram
das Hähnchen|chicken
der Kaffee|coffee
die Kartoffel; -n|potatoes
der Käse|cheese
das Kilo; -s|kilo
die Kiste; -n|boxes
das Kotelett; -s|chop
der Kuchen|cake
die Limonade|lemonade
der Liter|liter
der Löffel|spoon
die Marmelade; -n|jam
das Mehl|flour
das Messer; ­|knife
die Milch|milk
das Mineralwasser|mineral water
der Nachtisch; -e|dessert
das Öl; -e|oil
die Packung; -en|packs
der Pfeffer|pepper
das Pfund|pound
der Preis; -e|price
der Reis|rice
der Rotwein; -e|red wine
der Saft; Säfte|juice
die Sahne|cream
der Salat|salad
der Schinken|ham
der Schnaps; Schnäpse|schnapps
die Schokolade|chocolate
die Soße; -n|sauce
die Speisekarte; -n|menu
das Steak; -s|steak
die Suppe; -n|soup
die Tasse; -n|mugs
der Tee; -s|tea
der Teller; -|dish
die T0111ate; -n|T0111ate
die Vorspeise; -n|appetizers
die Wäsche|laundry
der Weißwein; -e|white wine
die Wurst; Würste|sausage
der Zettel; -|note
der Zucker|sugar
die Zwiebel; -n|onions

		Adjektive
billig|cheap
bitter|bitter
dunkel|dark
eng|closely
fett|fat
frisch|fresh
groß|large
grün|green
hart|hard
hell|bright
hoch|high
kalt|cold
mild|mild
nah|close
normal|normal
fantastisch|fantastic
rot|red
salzig|salty
satt|Fed up
sauer|sour
scharf|sharp
