the essentials | Основы
red | красный
green | зеленый
blue | синий
black | черный
white | белый
yellow | желтый
the basics | основы
Hello. | Привет.
Hi! | Привет!
Good morning. | Доброе утро.
Good afternoon. | Добрый день.
Good evening. | Добрый вечер.
Goodnight. | Спокойной ночи.
See you soon. | До скорой встречи.
See you tomorrow. | Увидимся завтра.
See you on Saturday. | Увидимся в субботу.
Bye! | Пока!
Have a good day / evening! | Хорошего дня/вечера!
Yes. | Да.
No. | Нет.
I don't know. | Я не знаю.
Please. | Пожалуйста.
Yes, please. | Да, пожалуйста.
Thank you. | Спасибо.
No, thanks. | Нет, спасибо.
Excuse me. | Прошу прощения.
Sorry? | Извини?
I'm sorry. | Мне жаль.
OK! | ХОРОШО!
You're welcome. | Пожалуйста.
I don't understand. | Я не понимаю.
