the essentials | найнеобхідніше
red | червоний
green | зелений
blue | блакитний
black | чорний
white | білий
yellow | жовтий
the basics | основи
Hello. | Привіт.
Hi! | Привіт!
Good morning. | Добрий ранок.
Good afternoon. | Добрий день.
Good evening. | Добрий вечір.
Goodnight. | Надобраніч.
See you soon. | До зустрічі.
See you tomorrow. | До завтра.
See you on Saturday. | Побачимось в суботу.
Bye! | До побачення!
Have a good day / evening! | Гарного дня/вечора!
Yes. | Так.
No. | Немає.
I don't know. | Не знаю.
Please. | Будь ласка
Yes, please. | Так, будь ласка.
Thank you. | Дякую тобі.
No, thanks. | Ні, дякую.
Excuse me. | Вибачте.
Sorry? | Вибачте?
I'm sorry. | мені шкода
OK! | В ПОРЯДКУ!
You're welcome. | Ласкаво просимо.
I don't understand. | я не розумію
