org.leo.dictionary.config.entity.ParseWords:de:de;en;uk::%5Ct:%3B:%3B:::Unregelmäßige+und+starke+Verben
	Infinitiv + Ergänzung	3. Person Präsens. | 3. Person Präteritum. | Hilfsverb + Partizip II
backen; (Dat) Akk	backt. / bäckt. | backte. / buk. | hat gebacken	to bake	пекти
befehlen; Dat Akk / Inf.	befiehlt. | befahl. | hat befohlen	to command	наказувати
beginnen; mit / Inf.	beginnt. | begann. | hat begonnen	to begin	починати
beißen; Akk	beißt. | biss. | hat gebissen	to bite	кусати
bergen; Akk	birgt. | barg. | hat geborgen	to rescue; to salvage	рятувати; ховати
bersten	birst. | barst. | ist geborsten	to burst	вибухати; лускати
betrügen; Akk	betrügt. | betrog. | hat betrogen	to deceive; to cheat	обманювати
bewegen	bewegt. | bewog. | hat bewegt	to move; to induce	рухати; спонукати
biegen; Akk	biegt. | bog. | hat gebogen	to bend	гнути
bieten; Dat Akk	bietet. | bot. | hat geboten	to offer	пропонувати
binden; Akk	bindet. | band. | hat gebunden	to bind	зв'язувати
bitten; Akk	bittet. | bat. | hat gebeten	to ask; to request	просити
blasen	bläst. | blies. | hat geblasen	to blow	дути
bleiben; Situativ-Erg.	bleibt. | blieb. | ist geblieben	to stay; to remain	залишатися
bleichen	bleicht. | blich. | hat gebleicht	to bleach	вибілювати
braten; (Dat) Akk	brät. | briet. | hat gebraten	to roast; to fry	смажити
brechen; (Dat) Akk	bricht. | brach. | hat gebrochen	to break	ламати
brennen	brennt. | brannte. | hat gebrannt	to burn	горіти; палити
bringen; Dat Akk	bringt. | brachte. | hat gebracht	to bring	приносити
denken; an / über	denkt. | dachte. | hat gedacht	to think	думати
dingen	dingt. | dang. | hat gedungen	to hire (archaic)	наймати
dreschen	drischt. | drosch. | hat gedroschen	to thresh	молотити
dürfen	darf. | durfte. | hat gedurft	to be allowed to	мати дозвіл
ein|dringen in + Akk	dringt ... ein. | drang ... ein. | ist eingedrungen	to penetrate; to invade	проникати
empfangen; Akk	empfängt. | empfing. | hat empfangen	to receive	отримувати
empfehlen; Dat Akk / Inf.	empfiehlt. | empfahl. | hat empfohlen	to recommend	рекомендувати
empfinden; Akk	empfindet. | empfand. | hat empfunden	to feel; to perceive	відчувати
erlöschen	erlischt. | erlosch. | ist erloschen	to extinguish; to go out	гаснути
erschrecken; (intr.)	erschrickt. | erschrak. | ist erschrocken	to be frightened	лякатися
